date,game_time,pitcher_name,pitcher_team,pitcher_throws,batter_name,batter_team,batter_position,batting_order,batter_bats
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,V. Robles,Mariners,CF,1,R
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,R. Arozarena,Mariners,LF,2,R
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,J. Rodriguez,Mariners,DH,3,R
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,J. Polanco,Mariners,2B,4,S
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,J. Turner,Mariners,1B,5,R
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,Dylan Moore,Mariners,3B,6,R
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,M. Haniger,Mariners,RF,7,R
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,Mitch Garver,Mariners,C,8,R
2024-08-17,1:05 PM ET,Bailey Falter,Pirates,L,Leo Rivas,Mariners,SS,9,S
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,I. Kiner-Falefa,Pirates,SS,1,R
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,Oneil Cruz,Pirates,DH,2,L
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,Joey Bart,Pirates,C,3,R
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,Rowdy Tellez,Pirates,1B,4,L
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,B. De La Cruz,Pirates,LF,5,R
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,K. Hayes,Pirates,3B,6,R
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,M. Taylor,Pirates,CF,7,R
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,Ji Hwan Bae,Pirates,RF,8,L
2024-08-17,1:05 PM ET,Luis Castillo,Mariners,R,Jared Triolo,Pirates,2B,9,R
2024-08-17,1:10 PM ET,Keider Montero,Tigers,R,G. Torres,Yankees,2B,1,R
2024-08-17,1:10 PM ET,Keider Montero,Tigers,R,Juan Soto,Yankees,RF,2,L
2024-08-17,1:10 PM ET,Keider Montero,Tigers,R,Aaron Judge,Yankees,CF,3,R
2024-08-17,1:10 PM ET,Keider Montero,Tigers,R,Austin Wells,Yankees,C,4,L
2024-08-17,1:10 PM ET,Keider Montero,Tigers,R,G. Stanton,Yankees,DH,5,R
