date,game_time,pitcher_name,pitcher_team,pitcher_throws,batter_name,batter_team,batter_position,batting_order,batter_bats,PA,AB,H,HR,SO,AVG,OBP,SLG,OPS
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,Adam Frazier,Royals,2B,1,L,3.0,3.0,2.0,0.0,0.0,0.667,0.667,0.667,1.333
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,Bobby Witt,Royals,SS,2,R,3.0,3.0,2.0,1.0,0.0,0.667,0.667,1.667,2.333
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,V. Pasquantino,Royals,DH,3,L,3.0,2.0,0.0,0.0,1.0,0.0,0.333,0.0,0.333
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,S. Perez,Royals,1B,4,R,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,H. Renfroe,Royals,RF,5,R,6.0,6.0,2.0,0.0,1.0,0.333,0.333,0.333,0.667
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,MJ Melendez,Royals,LF,6,L,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,Paul DeJong,Royals,3B,7,R,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.333,3.333
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,F. Fermin,Royals,C,8,R,3.0,3.0,1.0,0.0,0.0,0.333,0.333,0.333,0.667
2024-08-14,1:10 PM ET,Louie Varland,Twins,R,Kyle Isbel,Royals,CF,9,L,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,M. Margot,Twins,RF,1,R,10.0,10.0,4.0,0.0,1.0,0.4,0.4,0.5,0.9
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,Royce Lewis,Twins,DH,2,R,5.0,5.0,2.0,1.0,0.0,0.4,0.4,1.0,1.4
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,C. Santana,Twins,1B,3,S,8.0,7.0,2.0,1.0,3.0,0.286,0.375,0.714,1.089
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,Jose Miranda,Twins,3B,4,R,8.0,8.0,2.0,0.0,3.0,0.25,0.25,0.375,0.625
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,Ryan Jeffers,Twins,C,5,R,9.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,Willi Castro,Twins,SS,6,S,9.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,Kyle Farmer,Twins,2B,7,R,8.0,7.0,2.0,0.0,2.0,0.286,0.375,0.286,0.661
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,T. Larnach,Twins,LF,8,L,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-08-14,1:10 PM ET,Cole Ragans,Royals,L,A. Martin,Twins,CF,9,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,E. Tovar,Rockies,SS,1,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,B. Rodgers,Rockies,2B,2,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,B. Doyle,Rockies,CF,3,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,J. Stallings,Rockies,C,4,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,M. Toglia,Rockies,1B,5,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,H. Goodman,Rockies,DH,6,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,Jordan Beck,Rockies,LF,7,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,Sam Hilliard,Rockies,RF,8,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,J. Montgomery,Diamondbacks,L,Aaron Schunk,Rockies,3B,9,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,C. Carroll,Diamondbacks,RF,1,L,1.0,0.0,0.0,0.0,0.0,,1.0,,
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,J. McCarthy,Diamondbacks,CF,2,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,Joc Pederson,Diamondbacks,DH,3,L,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,Josh Bell,Diamondbacks,1B,4,S,1.0,0.0,0.0,0.0,0.0,,,,
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,L. Gurriel,Diamondbacks,LF,5,R,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,A. Del Castillo,Diamondbacks,C,6,L,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,E. Suarez,Diamondbacks,3B,7,R,1.0,0.0,0.0,0.0,0.0,,1.0,,
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,B. Alexander,Diamondbacks,2B,8,R,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,3:40 PM ET,Tanner Gordon,Rockies,R,G. Perdomo,Diamondbacks,SS,9,S,1.0,0.0,0.0,0.0,0.0,,1.0,,
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,I. Kiner-Falefa,Pirates,SS,1,R,11.0,9.0,2.0,0.0,2.0,0.222,0.364,0.222,0.586
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,B. Reynolds,Pirates,LF,2,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,Connor Joe,Pirates,1B,3,R,12.0,10.0,2.0,0.0,3.0,0.2,0.333,0.3,0.633
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,Joey Bart,Pirates,DH,4,R,3.0,3.0,2.0,1.0,0.0,0.667,0.667,1.667,2.333
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,K. Hayes,Pirates,3B,5,R,6.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,B. De La Cruz,Pirates,RF,6,R,6.0,6.0,4.0,0.0,1.0,0.667,0.667,0.833,1.5
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,M. Taylor,Pirates,CF,7,R,16.0,14.0,6.0,0.0,2.0,0.429,0.5,0.5,1.0
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,Y. Grandal,Pirates,C,8,S,7.0,5.0,3.0,0.0,0.0,0.6,0.714,0.6,1.314
2024-08-14,4:10 PM ET,Martin Perez,Padres,L,Jared Triolo,Pirates,2B,9,R,2.0,2.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0
2024-08-14,4:10 PM ET,Mitch Keller,Pirates,R,Luis Arraez,Padres,1B,1,L,9.0,9.0,3.0,0.0,1.0,0.333,0.333,0.444,0.778
2024-08-14,4:10 PM ET,Mitch Keller,Pirates,R,J. Profar,Padres,LF,2,S,16.0,14.0,3.0,0.0,4.0,0.214,0.313,0.286,0.598
